Ranking,Name,Location,Overall,Teaching,Research,Citations,Income,Outlook
801–1000,b'University of Calcutta',India,15.6–21.4,33.3,13.3,14.0,33.5,14.6
801–1000,"b'California Polytechnic State University, San Luis Obispo'",United States,15.6–21.4,16.6,7.0,33.3,37.0,32.4
801–1000,b'University of Castilla-La Mancha',Spain,15.6–21.4,18.1,10.4,28.7,33.7,33.3
801–1000,b'Catholic University of the North',Chile,15.6–21.4,16.3,11.7,12.5,33.2,51.1
801–1000,b'Central University of Venezuela',Venezuela,15.6–21.4,16.4,7.3,18.9,31.9,37.6
801–1000,b'University of Cergy-Pontoise',France,15.6–21.4,19.4,9.3,20.8,35.1,63.2
801–1000,b'Chiang Mai University',Thailand,15.6–21.4,21.0,12.8,19.8,49.7,34.7
801–1000,b'China University of Mining and Technology',China,15.6–21.4,20.0,15.0,15.9,57.9,14.8
801–1000,"b'China University of Petroleum, Beijing'",China,15.6–21.4,22.0,22.9,12.8,99.6,19.0
801–1000,b'Chongqing University',China,15.6–21.4,19.2,17.8,20.8,58.8,19.0
801–1000,b'Chungnam National University',South Korea,15.6–21.4,23.2,18.3,13.1,43.9,21.9
801–1000,b'Chung Yuan Christian University',Taiwan,15.6–21.4,16.8,23.9,15.0,42.2,28.5
801–1000,b'Chuo University',Japan,15.6–21.4,26.4,8.8,18.4,34.4,21.2
801–1000,b'Cochin University of Science and Technology',India,15.6–21.4,26.5,12.3,7.2,32.3,15.2
801–1000,b'University of Colombo',Sri Lanka,15.6–21.4,25.0,7.9,12.9,0.6,38.2
801–1000,b'University of Concepci\xc3\xb3n',Chile,15.6–21.4,17.1,13.5,20.4,57.2,47.6
801–1000,b'Corvinus University of Budapest',Hungary,15.6–21.4,16.9,9.5,18.0,32.0,43.7
801–1000,b'University of Costa Rica',Costa Rica,15.6–21.4,18.2,6.9,19.1,0.6,48.2
801–1000,b'Czech University of Life Sciences Prague (CULS)',Czech Republic,15.6–21.4,18.7,12.1,12.1,47.7,66.9
801–1000,b'University of Debrecen',Hungary,15.6–21.4,18.8,3.4,27.5,40.4,50.1
801–1000,b'Del Rosario University',Colombia,15.6–21.4,17.7,8.1,25.6,31.9,45.7
801–1000,b'University of Derby',United Kingdom,15.6–21.4,16.4,8.5,29.5,32.4,54.4
801–1000,b'Ehime University',Japan,15.6–21.4,20.9,13.0,17.9,38.6,24.9
801–1000,b'The University of Electro-Communications',Japan,15.6–21.4,20.4,19.8,17.1,36.3,27.0
801–1000,b'University of Electronic Science and Technology of China',China,15.6–21.4,19.6,14.3,21.4,86.9,20.0
801–1000,b'Erciyes University',Turkey,15.6–21.4,17.0,11.0,21.8,71.2,20.8
801–1000,b'Federal University of Cear\xc3\xa1 (UFC)',Brazil,15.6–21.4,22.1,9.1,18.8,33.0,22.1
801–1000,b'Federal University of Pelotas',Brazil,15.6–21.4,18.3,8.1,35.0,1.1,19.7
801–1000,b'Federal University of Pernambuco',Brazil,15.6–21.4,23.2,9.1,14.6,47.0,20.4
801–1000,b'Federal University of Rio Grande do Norte (UFRN)',Brazil,15.6–21.4,19.9,8.3,15.8,42.1,20.6
801–1000,b'Federal University of Santa Catarina',Brazil,15.6–21.4,25.0,10.6,23.6,38.4,26.1
801–1000,b'Federal University of S\xc3\xa3o Carlos',Brazil,15.6–21.4,25.5,12.0,15.9,32.3,22.4
801–1000,b'Feng Chia University',Taiwan,15.6–21.4,17.1,15.9,25.0,37.6,32.2
801–1000,b'Ferdowsi University of Mashhad',Iran,15.6–21.4,22.9,14.7,20.1,35.8,20.2
801–1000,b'University of La Frontera',Chile,15.6–21.4,16.5,9.1,17.2,32.2,43.5
801–1000,b'Fu Jen Catholic University',Taiwan,15.6–21.4,17.9,13.3,24.6,45.3,24.7
801–1000,b'Universitas Gadjah Mada',Indonesia,15.6–21.4,18.9,10.4,18.1,60.6,38.9
801–1000,b'Gda\xc5\x84sk University of Technology',Poland,15.6–21.4,16.6,9.5,28.6,37.4,19.1
801–1000,b'University of Ghana',Ghana,15.6–21.4,17.7,18.3,20.4,34.2,48.4
801–1000,b'Gifu University',Japan,15.6–21.4,22.7,10.8,15.5,34.7,21.3
801–1000,b'Grigore T. Popa University of Medicine and Pharmacy',Romania,15.6–21.4,20.1,7.1,9.9,32.0,51.2
801–1000,b'University of Guilan',Iran,15.6–21.4,18.0,10.9,24.4,32.0,14.0
801–1000,b'Hallym University',South Korea,15.6–21.4,18.8,13.4,14.8,32.9,20.0
801–1000,b'Hamamatsu University School of Medicine',Japan,15.6–21.4,27.5,6.0,21.2,37.2,17.4
801–1000,b'Hosei University',Japan,15.6–21.4,17.0,8.0,30.4,32.5,23.2
801–1000,b'Huaqiao University',China,15.6–21.4,16.0,9.0,19.6,38.8,45.3
801–1000,b'University of Ibadan',Nigeria,15.6–21.4,25.9,11.4,7.4,40.3,32.0
801–1000,b'Imam Abdulrahman Bin Faisal University',Saudi Arabia,15.6–21.4,20.7,6.3,5.3,32.3,70.8
801–1000,b'University of Indonesia',Indonesia,15.6–21.4,23.9,10.4,18.9,40.8,49.6
801–1000,b'University of Isfahan',Iran,15.6–21.4,24.8,20.2,9.1,41.4,16.1
801–1000,b'I-Shou University',Taiwan,15.6–21.4,16.1,14.4,15.5,49.0,28.7
801–1000,b'Istanbul University',Turkey,15.6–21.4,26.4,18.1,14.9,52.6,24.4
801–1000,b'Iwate University',Japan,15.6–21.4,20.7,10.4,16.4,41.7,21.3
801–1000,b'Izmir Institute of Technology',Turkey,15.6–21.4,18.8,9.2,32.3,42.4,29.8
801–1000,b'Jamia Millia Islamia',India,15.6–21.4,29.2,7.5,25.4,33.8,20.8
801–1000,b'Jiangsu University',China,15.6–21.4,21.5,9.9,16.6,51.5,27.6
801–1000,b'Jikei University School of Medicine',Japan,15.6–21.4,25.5,8.6,28.3,35.1,18.6
801–1000,b'Jinan University',China,15.6–21.4,21.4,13.8,19.1,37.2,44.1
801–1000,b'University of Jordan',Jordan,15.6–21.4,19.3,9.1,11.5,34.8,62.8
801–1000,b'Kagoshima University',Japan,15.6–21.4,21.2,10.9,20.4,38.6,20.8
801–1000,b'Kansai Medical University',Japan,15.6–21.4,26.9,7.0,28.4,32.2,16.8
801–1000,b'Kasetsart University',Thailand,15.6–21.4,18.4,10.7,10.5,40.4,36.3
801–1000,b'University of Kerala',India,15.6–21.4,31.5,11.8,12.3,31.8,13.6
801–1000,b'Khon Kaen University',Thailand,15.6–21.4,19.8,9.3,16.9,53.5,30.9
801–1000,b'Kindai University',Japan,15.6–21.4,15.6,9.4,35.4,37.0,20.4
801–1000,b'King Mongkut\xe2\x80\x99s Institute of Technology Ladkrabang',Thailand,15.6–21.4,16.8,18.0,10.2,88.6,19.3
801–1000,b'Kitasato University',Japan,15.6–21.4,23.5,8.8,19.6,43.3,15.7
801–1000,b'Kyoto Institute of Technology',Japan,15.6–21.4,23.1,13.9,8.0,40.4,20.6
801–1000,b'Kyushu Institute of Technology (Kyutech)',Japan,15.6–21.4,20.2,11.9,18.2,46.4,24.8
801–1000,b'University of Latvia',Latvia,15.6–21.4,18.8,9.3,20.0,32.3,40.1
801–1000,b'Lobachevsky State University of Nizhni Novgorod',Russian Federation,15.6–21.4,24.4,11.0,10.7,41.9,27.3
801–1000,b'London South Bank University',United Kingdom,15.6–21.4,16.4,8.9,12.1,32.7,69.7
801–1000,b'Mansoura University',Egypt,15.6–21.4,17.4,6.5,29.3,40.0,36.2
801–1000,b'Marmara University',Turkey,15.6–21.4,19.4,22.7,16.5,31.7,20.5
801–1000,b'University of Marrakech Cadi Ayyad',Morocco,15.6–21.4,18.1,7.2,25.0,34.1,41.6
801–1000,b'Meiji University',Japan,15.6–21.4,16.3,10.0,18.1,53.3,22.0
801–1000,b'Metropolitan Autonomous University',Mexico,15.6–21.4,17.0,15.9,16.4,38.9,25.3
801–1000,b'Mie University',Japan,15.6–21.4,21.6,13.1,16.4,47.5,19.3
801–1000,b'University of Miyazaki',Japan,15.6–21.4,21.1,8.8,19.4,33.8,21.1
801–1000,b'Mohammed V University of Rabat',Morocco,15.6–21.4,24.4,7.9,20.0,37.8,30.0
801–1000,b'Nagaoka University of Technology',Japan,15.6–21.4,23.0,12.8,11.3,39.1,32.0
801–1000,b'Nagasaki University',Japan,15.6–21.4,24.9,12.3,19.2,35.3,25.7
801–1000,b'Nagoya Institute of Technology',Japan,15.6–21.4,19.2,18.7,17.1,47.7,20.8
801–1000,b'University of Nairobi',Kenya,15.6–21.4,15.1,9.4,21.1,32.2,46.6
801–1000,b'Nara Medical University',Japan,15.6–21.4,25.4,9.6,13.8,38.0,14.5
801–1000,b'National Chung Cheng University',Taiwan,15.6–21.4,20.2,19.5,13.4,38.3,19.4
801–1000,b'National University of Colombia',Colombia,15.6–21.4,21.0,14.4,6.5,31.9,34.7
801–1000,b'National University of C\xc3\xb3rdoba',Argentina,15.6–21.4,18.3,8.6,20.2,5.0,30.9
801–1000,b'National Dong Hwa University',Taiwan,15.6–21.4,18.3,13.7,21.2,60.8,32.0
801–1000,b'National Research Saratov State University',Russian Federation,15.6–21.4,20.6,13.2,13.3,36.3,29.8
801–1000,b'National University of Tainan',Taiwan,15.6–21.4,20.6,15.8,26.1,35.3,15.5
801–1000,b'National Taipei University',Taiwan,15.6–21.4,18.0,7.3,27.2,33.8,22.8
801–1000,b'National Taipei University of Technology',Taiwan,15.6–21.4,19.0,18.3,19.9,89.6,20.9
801–1000,b'National Taiwan Ocean University',Taiwan,15.6–21.4,19.1,22.3,18.6,52.5,23.5
801–1000,b'Nicolaus Copernicus University in Toru\xc5\x84',Poland,15.6–21.4,19.2,8.9,20.9,32.9,24.2
801–1000,b'Niigata University',Japan,15.6–21.4,22.7,10.7,25.6,36.2,23.5
801–1000,b'Northeastern University',China,15.6–21.4,21.7,22.7,9.2,98.9,24.3
801–1000,b'Northwest University',China,15.6–21.4,19.4,11.6,31.8,38.2,16.4
801–1000,b'NorthWest A&F University',China,15.6–21.4,20.6,11.2,25.8,40.0,20.5
801–1000,b'Novosibirsk State Technical University',Russian Federation,15.6–21.4,22.5,10.6,20.6,35.8,30.4
801–1000,b'Oakland University',United States,15.6–21.4,19.6,12.3,26.0,32.8,25.2
801–1000,b'Ocean University of China',China,15.6–21.4,21.0,13.6,26.1,50.9,18.8
801–1000,b'Osaka Prefecture University',Japan,15.6–21.4,23.8,12.3,17.9,39.2,20.5
801–1000,b'Osmania University',India,15.6–21.4,33.9,8.4,14.5,32.0,15.1
801–1000,b'University of Ostrava',Czech Republic,15.6–21.4,16.0,11.4,24.1,31.9,39.4
801–1000,b'University of Pardubice',Czech Republic,15.6–21.4,18.4,13.4,14.2,32.4,23.9
801–1000,b'Paris Nanterre University',France,15.6–21.4,21.3,12.9,18.7,31.7,48.2
801–1000,b'Pondicherry University',India,15.6–21.4,35.3,10.1,11.3,31.8,13.8
801–1000,b'Pontifical Catholic University of Paran\xc3\xa1',Brazil,15.6–21.4,17.1,8.6,27.7,34.5,23.0
801–1000,b'Pontifical Catholic University of Rio Grande do Sul (PUCRS)',Brazil,15.6–21.4,22.7,12.6,25.7,45.4,25.0
801–1000,b'Pontifical Catholic University of Valpara\xc3\xadso',Chile,15.6–21.4,17.4,12.9,13.2,49.0,47.7
801–1000,b'Prince of Songkla University',Thailand,15.6–21.4,16.4,8.1,20.3,34.0,32.2
801–1000,b'Riga Technical University',Latvia,15.6–21.4,18.3,11.3,14.8,39.0,32.7
801–1000,b'Rio de Janeiro State University (UERJ)',Brazil,15.6–21.4,21.4,9.9,12.8,40.4,19.7
801–1000,b'Ritsumeikan University',Japan,15.6–21.4,18.6,9.0,13.9,32.7,31.8
801–1000,b'Robert Gordon University',United Kingdom,15.6–21.4,16.9,9.8,17.2,33.0,68.3
801–1000,b'Saga University',Japan,15.6–21.4,21.1,11.3,17.8,48.1,22.3
801–1000,b'Saitama University',Japan,15.6–21.4,19.0,11.7,24.9,33.0,27.7
801–1000,b'Saitama Medical University',Japan,15.6–21.4,23.7,7.8,18.3,36.3,14.3
801–1000,"b'University of Santiago, Chile (USACH)'",Chile,15.6–21.4,17.4,10.0,12.1,32.4,40.9
801–1000,b'Seoul National University of Science and Technology (SeoulTech)',South Korea,15.6–21.4,25.3,18.9,13.7,36.2,18.2
801–1000,b'Shaanxi Normal University',China,15.6–21.4,18.3,9.6,29.5,36.2,18.2
801–1000,b'Shahid Beheshti University',Iran,15.6–21.4,21.8,19.8,19.1,46.7,16.4
801–1000,b'University of Sharjah',United Arab Emirates,15.6–21.4,18.1,8.9,16.5,36.3,99.3
801–1000,b'Sheffield Hallam University',United Kingdom,15.6–21.4,18.3,10.8,24.9,32.1,48.8
801–1000,b'Shiga University of Medical Science',Japan,15.6–21.4,24.8,9.4,27.7,40.9,21.0
801–1000,b'Shimane University',Japan,15.6–21.4,21.8,10.0,12.6,34.4,18.2
801–1000,b'Shinshu University',Japan,15.6–21.4,21.3,8.9,28.0,40.0,22.5
801–1000,b'Shiraz University',Iran,15.6–21.4,22.9,20.5,18.4,45.3,16.6
801–1000,b'Shizuoka University',Japan,15.6–21.4,19.1,12.5,11.4,36.1,24.3
801–1000,b'Showa University',Japan,15.6–21.4,27.1,8.8,13.2,34.7,15.9
801–1000,b'University of Silesia in Katowice',Poland,15.6–21.4,18.5,7.8,20.4,31.8,22.9
801–1000,b'Sim\xc3\xb3n Bol\xc3\xadvar University',Venezuela,15.6–21.4,19.0,6.3,14.9,46.7,41.6
801–1000,b'Slovak University of Technology in Bratislava',Slovakia,15.6–21.4,21.6,13.2,11.5,34.7,26.5
801–1000,b'Sophia University',Japan,15.6–21.4,23.6,10.7,11.2,32.6,37.1
801–1000,b'University of South Africa',South Africa,15.6–21.4,18.3,10.8,13.5,32.3,37.5
801–1000,b'Southern Federal University',Russian Federation,15.6–21.4,22.4,8.2,14.8,39.2,23.4
801–1000,b'University of Southern Mississippi',United States,15.6–21.4,20.4,9.2,25.1,48.8,22.4
801–1000,b'South Valley University',Egypt,15.6–21.4,14.7,6.5,18.7,31.7,44.5
801–1000,b'Sri Venkateswara University',India,15.6–21.4,34.0,9.4,20.2,32.5,18.5
801–1000,b'State University of Ponta Grossa',Brazil,15.6–21.4,20.1,17.8,13.2,31.7,15.5
801–1000,b'Suez Canal University',Egypt,15.6–21.4,18.2,7.0,31.9,0.5,45.4
801–1000,b'Sultan Qaboos University',Oman,15.6–21.4,22.2,10.0,15.7,47.9,71.4
801–1000,b'University of Talca',Chile,15.6–21.4,15.7,10.4,20.7,1.0,49.2
801–1000,b'Taras Shevchenko National University of Kyiv',Ukraine,15.6–21.4,27.3,10.1,7.6,32.5,33.5
801–1000,b'Technical University of Ko\xc5\xa1ice',Slovakia,15.6–21.4,21.4,12.4,23.5,41.9,19.5
801–1000,b'Universiti Tenaga Nasional (UNITEN)',Malaysia,15.6–21.4,17.1,11.7,28.6,73.4,30.7
801–1000,b'Texas State University',United States,15.6–21.4,21.2,12.0,25.2,32.6,17.5
801–1000,b'Thapar University',India,15.6–21.4,19.1,7.7,28.5,32.1,13.4
801–1000,b'University of Tlemcen',Algeria,15.6–21.4,27.9,8.0,4.8,31.9,40.0
801–1000,b'TOBB University of Economics and Technology',Turkey,15.6–21.4,15.6,10.2,31.1,32.4,26.9
801–1000,b'Tokai University',Japan,15.6–21.4,19.6,8.3,17.5,34.3,22.9
801–1000,b'Tokushima University',Japan,15.6–21.4,23.7,18.1,16.0,55.8,20.4
801–1000,b'Tokyo University of Marine Science and Technology',Japan,15.6–21.4,23.8,12.8,11.6,50.9,28.6
801–1000,b'Tomas Bata University in Zl\xc3\xadn',Czech Republic,15.6–21.4,17.9,13.0,13.4,33.6,33.6
801–1000,b'University of Toyama',Japan,15.6–21.4,20.5,11.6,17.2,39.9,26.2
801–1000,b'Toyohashi University of Technology (TUT)',Japan,15.6–21.4,21.1,16.7,16.1,46.1,24.2
801–1000,b'University of Valpara\xc3\xadso',Chile,15.6–21.4,15.9,8.2,19.2,32.1,46.3
801–1000,b'VIT University',India,15.6–21.4,17.8,8.9,24.5,33.0,22.6
801–1000,b'VSB - Technical University of Ostrava',Czech Republic,15.6–21.4,18.6,13.1,12.8,39.5,30.4
801–1000,b'University of West Bohemia',Czech Republic,15.6–21.4,18.5,11.8,13.6,35.7,26.4
801–1000,b'West University of Timi\xc5\x9foara',Romania,15.6–21.4,20.1,7.8,26.3,31.8,30.7
801–1000,b'University of Wroc\xc5\x82aw',Poland,15.6–21.4,20.1,10.9,25.8,33.8,32.5
801–1000,b'Wuhan University of Technology',China,15.6–21.4,19.0,11.2,22.9,54.8,19.0
801–1000,b'Xiangtan University',China,15.6–21.4,15.3,10.6,35.6,36.2,15.9
801–1000,b'Xidian University',China,15.6–21.4,19.7,13.9,16.4,75.8,16.5
801–1000,b'Yamagata University',Japan,15.6–21.4,21.0,10.3,23.2,49.9,20.3
801–1000,b'Yamaguchi University',Japan,15.6–21.4,21.8,9.3,12.6,38.9,22.3
801–1000,b'University of Yamanashi',Japan,15.6–21.4,24.2,10.5,21.7,34.4,21.2
801–1000,b'Y\xc4\xb1ld\xc4\xb1z Technical University',Turkey,15.6–21.4,18.7,7.7,26.6,42.6,20.5
801–1000,b'Yokohama National University',Japan,15.6–21.4,22.8,21.8,14.6,45.5,24.2
801–1000,b'Yuan Ze University',Taiwan,15.6–21.4,18.8,15.0,25.9,47.1,22.6
801–1000,b'University of Zagreb',Croatia,15.6–21.4,21.0,11.1,20.3,41.6,28.5
1001+,b'Akita University',Japan,9.2–15.5,21.9,9.1,9.2,35.1,19.0
1001+,b'Alzahra University',Iran,9.2–15.5,18.0,9.2,14.3,33.3,13.8
1001+,b'Amity University',India,9.2–15.5,16.7,7.6,13.2,32.7,17.9
1001+,b'Anadolu University',Turkey,9.2–15.5,13.8,9.7,15.5,32.3,15.9
1001+,"b'University of the Andes, Venezuela'",Venezuela,9.2–15.5,16.4,7.5,11.3,31.7,43.2
1001+,b'Ankara University',Turkey,9.2–15.5,18.9,8.9,11.4,32.4,20.8
1001+,b'Autonomous University of Baja California',Mexico,9.2–15.5,14.7,7.8,5.5,32.6,29.4
1001+,b'Autonomous University of Hidalgo State (UAEH)',Mexico,9.2–15.5,17.0,7.0,3.0,33.8,21.2
1001+,b'Autonomous University of Nuevo Le\xc3\xb3n',Mexico,9.2–15.5,14.9,6.8,11.3,32.7,29.1
1001+,b'Autonomous University of Puebla',Mexico,9.2–15.5,15.5,7.2,11.6,34.6,28.5
1001+,b'Autonomous University of the State of Mexico',Mexico,9.2–15.5,16.4,7.7,8.8,32.0,25.0
1001+,b'Autonomous University of Yucat\xc3\xa1n',Mexico,9.2–15.5,15.6,8.3,15.1,32.8,28.5
1001+,b'Bahauddin Zakariya University',Pakistan,9.2–15.5,14.9,10.4,18.2,0.1,28.8
1001+,b'University of Birjand',Iran,9.2–15.5,15.5,7.6,8.7,32.0,14.6
1001+,b'IPB University',Indonesia,9.2–15.5,18.4,8.7,8.9,68.2,36.6
1001+,b'Chaoyang University of Technology',Taiwan,9.2–15.5,13.5,11.2,6.1,39.7,20.6
1001+,b'Chiba Institute of Technology',Japan,9.2–15.5,15.0,8.2,7.4,34.0,15.6
1001+,b'University of Dhaka',Bangladesh,9.2–15.5,20.4,6.8,9.0,31.7,41.9
1001+,b'Dokuz Eyl\xc3\xbcl University',Turkey,9.2–15.5,16.1,7.6,14.5,32.8,16.9
1001+,b'Doshisha University',Japan,9.2–15.5,16.4,6.4,6.2,33.4,24.2
1001+,b'Far Eastern Federal University',Russian Federation,9.2–15.5,21.2,9.6,7.9,36.2,33.8
1001+,b'Federal University of Goi\xc3\xa1s',Brazil,9.2–15.5,18.7,7.3,13.6,31.7,17.6
1001+,b'Federal University of Lavras',Brazil,9.2–15.5,25.1,11.3,7.0,33.7,17.1
1001+,b'Federal University of Ouro Preto',Brazil,9.2–15.5,16.6,5.5,18.0,32.4,19.5
1001+,b'Federal University of Paran\xc3\xa1 (UFPR)',Brazil,9.2–15.5,19.6,5.3,9.2,31.7,20.4
1001+,b'Federal University of Santa Maria',Brazil,9.2–15.5,22.3,5.1,9.3,33.3,15.8
1001+,b'Federal University of Vi\xc3\xa7osa',Brazil,9.2–15.5,25.8,7.4,8.7,50.3,19.1
1001+,b'Fluminense Federal University',Brazil,9.2–15.5,17.8,8.6,12.2,32.0,24.1
1001+,b'University of Fukui',Japan,9.2–15.5,20.5,10.2,8.4,37.2,20.3
1001+,b'Gazi University',Turkey,9.2–15.5,18.8,9.1,11.2,36.2,15.7
1001+,"b'G.B. Pant University of Agriculture & Technology, Pantnagar'",India,9.2–15.5,22.3,7.3,2.2,32.3,12.5
1001+,b'University of Gda\xc5\x84sk',Poland,9.2–15.5,17.5,9.3,14.8,32.2,28.8
1001+,b'GITAM University',India,9.2–15.5,16.0,6.7,9.6,31.9,13.7
1001+,b'Government College University Lahore',Pakistan,9.2–15.5,17.5,7.9,4.0,0.0,35.3
1001+,b'University of Guadalajara',Mexico,9.2–15.5,16.8,3.0,8.4,31.7,28.9
1001+,b'Guangxi University',China,9.2–15.5,16.0,8.8,9.1,35.6,19.3
1001+,b'Hashemite University',Jordan,9.2–15.5,11.1,7.9,9.7,31.7,46.1
1001+,b'University of Hyogo',Japan,9.2–15.5,17.1,11.6,10.2,38.1,16.9
1001+,b'Ibaraki University',Japan,9.2–15.5,17.4,5.4,11.2,36.1,22.6
1001+,b'Ivane Javakhishvili Tbilisi State University',Georgia,9.2–15.5,16.2,8.7,2.7,32.2,40.9
1001+,b'Ivan Franko National University of Lviv',Ukraine,9.2–15.5,20.2,3.1,3.7,1.4,36.4
1001+,b'Jawaharlal Nehru Technological University Anantapur (JNTUA)',India,9.2–15.5,23.6,9.7,5.3,32.5,12.7
1001+,b'Kanagawa University',Japan,9.2–15.5,15.0,8.6,14.3,31.7,24.0
1001+,b'Kansai University',Japan,9.2–15.5,23.8,7.3,5.9,32.9,21.2
1001+,b'Kaunas University of Technology',Lithuania,9.2–15.5,18.1,11.7,3.3,35.7,23.7
1001+,"b""King Mongkut'''s University of Technology North Bangkok""",Thailand,9.2–15.5,18.4,7.6,13.8,33.0,21.2
1001+,b'Kogakuin University',Japan,9.2–15.5,17.0,8.2,9.5,37.7,18.3
1001+,b'Kwansei Gakuin University',Japan,9.2–15.5,16.2,7.1,7.0,32.4,25.0
1001+,b'University of Lahore',Pakistan,9.2–15.5,15.0,7.0,14.1,31.7,34.2
1001+,b'University of \xc5\x81\xc3\xb3d\xc5\xba',Poland,9.2–15.5,17.4,9.5,13.8,31.9,23.0
1001+,b'Lodz University of Technology',Poland,9.2–15.5,17.0,10.4,12.8,36.4,19.4
1001+,b'Londrina State University',Brazil,9.2–15.5,23.8,9.4,10.6,31.8,16.3
1001+,b'Lviv Polytechnic National University',Ukraine,9.2–15.5,18.2,7.6,3.7,31.8,25.0
1001+,b'Maharaja Sayajirao University of Baroda',India,9.2–15.5,14.5,7.5,13.6,32.2,13.3
1001+,b'Manipal Academy of Higher Education',India,9.2–15.5,20.7,9.4,3.5,31.9,25.6
1001+,b'Meijo University',Japan,9.2–15.5,15.4,8.1,10.2,33.1,21.8
1001+,b'Ming Chuan University',Taiwan,9.2–15.5,15.3,10.2,7.7,32.4,27.0
1001+,b'University of Monastir',Tunisia,9.2–15.5,17.5,7.3,9.6,31.7,40.9
1001+,b'University of Mysore',India,9.2–15.5,28.5,7.7,2.9,31.9,28.4
1001+,b'National Chiayi University',Taiwan,9.2–15.5,14.6,11.0,7.8,65.0,16.6
1001+,b'National University of Kaohsiung',Taiwan,9.2–15.5,15.1,15.9,8.9,35.8,21.7
1001+,b'National Polytechnic University (IPN)',Mexico,9.2–15.5,19.9,8.8,9.7,32.9,21.2
1001+,b'National Research University of Electronic Technology (MIET)',Russian Federation,9.2–15.5,18.5,14.9,4.1,33.8,23.3
1001+,b'National Technical University of Ukraine \xe2\x80\x93 Igor Sikorsky Kyiv Polytechnic Institute',Ukraine,9.2–15.5,22.0,8.2,1.9,32.6,18.2
1001+,b'Oita University',Japan,9.2–15.5,21.0,7.6,11.8,33.5,17.8
1001+,b'Ondokuz Mayis University',Turkey,9.2–15.5,16.7,7.3,4.3,33.2,16.8
1001+,b'Perm State University',Russian Federation,9.2–15.5,18.0,9.5,3.9,36.7,17.9
1001+,b'University of Peshawar',Pakistan,9.2–15.5,23.4,7.5,6.8,31.7,27.8
1001+,b'PMAS Arid Agriculture University Rawalpindi',Pakistan,9.2–15.5,17.9,9.0,9.8,31.7,28.3
1001+,b'PSG College of Technology',India,9.2–15.5,16.6,8.4,7.2,32.2,12.8
1001+,b'RUDN University',Russian Federation,9.2–15.5,21.2,9.5,5.6,35.3,45.1
1001+,b'SASTRA University',India,9.2–15.5,16.2,8.2,15.0,32.4,12.6
1001+,b'Sathyabama Institute of Science and Technology',India,9.2–15.5,17.0,7.9,2.1,32.2,13.3
1001+,b'Sechenov University',Russian Federation,9.2–15.5,23.4,8.4,0.8,33.8,23.9
1001+,b'Shanghai Maritime University',China,9.2–15.5,15.2,8.1,16.8,33.8,28.8
1001+,b'Shibaura Institute of Technology Tokyo',Japan,9.2–15.5,17.1,8.5,8.4,35.1,20.6
1001+,b'Siberian Federal University',Russian Federation,9.2–15.5,19.6,9.0,6.2,35.8,16.0
1001+,b'Sidi Mohamed Ben Abdellah University',Morocco,9.2–15.5,25.6,6.3,9.7,31.8,22.0
1001+,b'Unisinos University',Brazil,9.2–15.5,23.0,12.0,5.6,33.2,17.9
1001+,b'Sofia University',Bulgaria,9.2–15.5,19.6,8.6,9.0,33.0,39.2
1001+,b'Southwest Jiaotong University',China,9.2–15.5,18.6,12.0,9.0,76.0,20.2
1001+,b'SRM Institute of Science and Technology',India,9.2–15.5,16.4,7.3,8.9,31.9,15.9
1001+,b'State University of Maring\xc3\xa1',Brazil,9.2–15.5,18.8,9.3,6.0,32.0,15.2
1001+,b'Tamil Nadu Agricultural University',India,9.2–15.5,24.9,8.8,2.8,35.3,14.8
1001+,b'Tamkang University',Taiwan,9.2–15.5,16.0,11.1,9.3,33.5,25.0
1001+,b'Technical University of Liberec',Czech Republic,9.2–15.5,18.5,10.2,4.7,37.1,30.9
1001+,b'Tokyo City University',Japan,9.2–15.5,18.5,9.6,11.5,39.3,18.4
1001+,b'Tokyo Denki University',Japan,9.2–15.5,15.5,7.9,2.9,0.6,17.0
1001+,b'Tottori University',Japan,9.2–15.5,22.4,8.1,10.8,32.8,18.3
1001+,b'Toyo University',Japan,9.2–15.5,15.7,9.3,8.1,32.7,21.2
1001+,b'University of Tunis El Manar',Tunisia,9.2–15.5,22.7,9.3,7.3,32.1,38.3
1001+,b'Ural Federal University',Russian Federation,9.2–15.5,22.3,11.9,5.8,38.4,27.8
1001+,b'Universiti Utara Malaysia',Malaysia,9.2–15.5,24.2,10.3,2.9,32.2,45.3
1001+,b'Utsunomiya University',Japan,9.2–15.5,18.5,9.2,7.2,33.2,22.0
1001+,"b'University of Veterinary and Animal Sciences, Lahore'",Pakistan,9.2–15.5,15.7,9.1,4.4,35.1,29.3
1001+,b'V.N. Karazin Kharkiv National University',Ukraine,9.2–15.5,21.3,7.9,3.1,32.0,51.4
1001+,b'Volgograd State Technical University',Russian Federation,9.2–15.5,17.7,6.9,2.0,41.5,17.7
1001+,b'Voronezh State University',Russian Federation,9.2–15.5,20.8,7.1,1.9,33.2,24.4
1001+,b'Western Paran\xc3\xa1 State University (Unioeste)',Brazil,9.2–15.5,22.4,4.6,2.4,31.9,13.6
1001+,b'Yazd University',Iran,9.2–15.5,14.6,9.9,14.8,0.4,15.5
1001+,b'Yeditepe University',Turkey,9.2–15.5,15.4,8.0,9.7,0.2,23.4
1001+,b'University of Zanjan',Iran,9.2–15.5,16.2,9.4,15.7,38.3,17.3
